article_id,comment_index,image_path,ace_sentence,json_file
181,104,,I wonder how much I contribute to the consumption of fossil fuels.,104.json
181,104,,I wonder how my community can avoid the consumption of fossil fuels.,104.json
181,104,,I wonder how I can avoid the consumption of fossil fuels.,104.json
181,104,,"The headline is: Clean Energy: More Power, Less Consumption - But why?",104.json
181,105,,China had the steepest increase in electricity generation over the years.,105.json
181,105,,This increase happened for all types of power.,105.json
181,105,,The United States had a smaller increase in electricity generation than China.,105.json
181,105,,India had a smaller increase in electricity generation than China.,105.json
181,105,,"In 2000, China generated less electricity than the United States.",105.json
181,105,,"Around 2010, China generated more electricity than the United States.",105.json
181,105,,The overall electricity generation in the United States has not increased much over the years.,105.json
181,105,,"In the United States, the proportion of clean fuels has increased over the years.",105.json
181,105,,"In the United States, the proportion of fossil fuels has decreased over the years.",105.json
181,105,,Coal is a fossil fuel.,105.json
181,105,,"In the United States, the use of coal has decreased.",105.json
181,105,,India generated less electricity than China over the years.,105.json
181,105,,India generated less electricity than the United States over the years.,105.json
181,105,,India has steadily increased its electricity generation over the years.,105.json
181,105,,I wonder whether the increase in electricity generation in China correlates with the openness of the economy of China.,105.json
181,105,,China has expanded its private sector.,105.json
181,105,,I wonder why electricity generation in the United States has plateaued.,105.json
181,105,,I wonder whether this plateau is also seen in other Western developed countries.,105.json
181,105,,I wonder what relationship exists between energy generation and political stability of a country.,105.json
181,105,,This relates to how I might think about energy policies in the United States.,105.json
181,105,,This relates to how I might vote about energy policies in the United States.,105.json
181,105,,I live in the Bay Area.,105.json
181,105,,I see more Tesla cars in the Bay Area than before.,105.json
181,105,,A Tesla is an electric car.,105.json
181,105,,Electric cars do not seem reserved for rich people anymore.,105.json
181,105,,Many middle-class people buy Tesla cars.,105.json
181,105,,Gas prices are rising.,105.json
181,105,,Some middle-class people buy Tesla cars to account for rising gas prices.,105.json
181,105,,The headline is: Our energy usage has transformed over the last 20 years.,105.json
181,106,,The graph shows China and India and the United States.,106.json
181,106,,China produces the most electricity among the three countries.,106.json
181,106,,India produces less electricity than China.,106.json
181,106,,India has a large population.,106.json
181,106,,India does not produce much electricity compared to its population.,106.json
181,106,,The United States has reduced coal in its energy production methods.,106.json
181,106,,China has increased its energy production methods substantially.,106.json
181,106,,I wonder why India does not produce much electricity.,106.json
181,106,,I wonder why China's energy production increased substantially over the last 20 years.,106.json
181,106,,I wonder why the energy production of the United States stayed the same over the last 20 years.,106.json
181,106,,Energy production emits carbon into the atmosphere.,106.json
181,106,,This relates to me and my community because carbon is emitted into the atmosphere.,106.json
181,106,,The graph shows the percentage of energy that is created by non-renewable energy sources.,106.json
181,106,,The graph shows progress toward more renewable energy sources.,106.json
181,106,,The headline is: Power Problems.,106.json
181,107,,I examined the World’s Electricity Generation Graph.,107.json
181,107,,I noticed that clean sources produce more power in the world than fossil fuels.,107.json
181,107,,Nuclear sources produce the most power overall.,107.json
181,107,,"As the years increase, the electricity generation increases for all sources.",107.json
181,107,,I examined the smaller graphs.,107.json
181,107,,China uses much more electricity than the United States.,107.json
181,107,,China uses much more electricity than India.,107.json
181,107,,"India produces the least electricity among China, the United States, and India.",107.json
181,107,,"India uses the least clean energy sources to produce electricity among China, the United States, and India.",107.json
181,107,,I wonder if a reason exists.,107.json
181,107,,I wonder why India produces the least electricity.,107.json
181,107,,India is a very large country.,107.json
181,107,,India has more than one billion people.,107.json
181,107,,I assume that India should produce much electricity.,107.json
181,107,,This situation affects me and my community.,107.json
181,107,,I wonder how much electricity I use daily.,107.json
181,107,,I wonder what kind of energy sources produce my electricity.,107.json
181,107,,I observed the graph of the United States.,107.json
181,107,,"As the years increase, the fossil fuel usage in the United States decreases.",107.json
181,107,,"Because of this observation, my electricity is more likely to be powered by clean energy sources.",107.json
181,107,,I looked at the main graph.,107.json
181,107,,I looked at the sub-graphs of other countries.,107.json
181,107,,The headline is: How Different Powers Charge the World.,107.json
181,108,,I examined the World’s Electricity Generation graph.,108.json
181,108,,I noticed that clean sources produce more electric power in the world than fossil fuels.,108.json
181,108,,Nuclear sources produce the most electric power overall.,108.json
181,108,,"As the years increase, the electricity generation increases for all sources.",108.json
181,108,,I examined the smaller graphs.,108.json
181,108,,China uses much more electricity than the United States.,108.json
181,108,,China uses much more electricity than India.,108.json
181,108,,"India produces the least electricity among China, the United States, and India.",108.json
181,108,,"India uses the least clean energy sources to produce electricity among China, the United States, and India.",108.json
181,108,,I wonder why India produces the least electricity.,108.json
181,108,,India is a very large country.,108.json
181,108,,India has more than 1 billion people.,108.json
181,108,,I assume that India should produce a lot of electricity.,108.json
181,108,,This information affects me and my community.,108.json
181,108,,I wonder how much electricity I use daily.,108.json
181,108,,I wonder what kind of energy sources produce my electricity.,108.json
181,108,,I observed the United States graph.,108.json
181,108,,"In the United States, fossil fuel usage decreases as the years increase.",108.json
181,108,,"Because of this observation, my electricity is more likely to be powered by clean energy sources.",108.json
181,108,,I looked at the main graph and the sub-graphs of other countries.,108.json
181,108,,The headline is: How Different Powers Charge the World.,108.json
181,109,,I notice that clean electricity generation increased more than fossil electricity generation.,109.json
181,109,,This is evident because nuclear electricity generation increased by a little over 10 million.,109.json
181,109,,This is evident because hydroelectricity generation increased by a little over 10 million.,109.json
181,109,,This is evident because wind electricity generation increased by a little over 10 million.,109.json
181,109,,This is evident because solar electricity generation increased by a little over 10 million.,109.json
181,109,,I wonder how this graph was created.,109.json
181,109,,I wonder what sampling method was used to obtain the data.,109.json
181,109,,The whole world requires all electricity generations that are shown in the graph.,109.json
181,109,,My community can get a better understanding of the increase of these electricity generations.,109.json
181,109,,This understanding can bring awareness that fossil electricity generation may need to be reduced.,109.json
181,109,,Communities can gather to help reduce fossil electricity generation.,109.json
181,109,,The headline is: Electricity generations increase by millions each year.,109.json
181,11,,The generation of electricity has increased over time in all modes.,11.json
181,11,,China produces more electricity than the United States and India combined.,11.json
181,11,,I wonder what can be done to reduce the use of gas.,11.json
181,11,,I wonder what can be done to reduce the use of fossil fuels.,11.json
181,11,,I wonder how a decline in the use of gas and fossil fuels might appear on this graph.,11.json
181,11,,The use of fossil fuels has a tremendous impact on me and my community.,11.json
181,11,,Our consumption of fossil fuels threatens to destroy human life as we know it.,11.json
181,11,,Climate change causes this threat.,11.json
181,11,,The headline is: Coal in our stockings: trends in electricity generation.,11.json
181,110,,I notice that all sources of electricity generation increase globally.,110.json
181,110,,A world electricity generation graph depicts this increase.,110.json
181,110,,"Currently, clean methods and fossil-fuel methods are utilized at similar rates for global energy production.",110.json
181,110,,I wonder which countries contribute most to the use of clean energy sources.,110.json
181,110,,A breakdown of China shows that China relies mostly on fossil fuels.,110.json
181,110,,A breakdown of the United States shows that the United States relies mostly on fossil fuels.,110.json
181,110,,A breakdown of India shows that India relies mostly on fossil fuels.,110.json
181,110,,I wonder what the color scale means.,110.json
181,110,,The color scale differentiates different groups.,110.json
181,110,,I wonder whether coal is the worst fossil fuel.,110.json
181,110,,Coal is at the bottom of the fossil-fuel category.,110.json
181,110,,Coal is the darkest in the fossil-fuel category.,110.json
181,110,,I wonder whether nuclear energy is the cleanest source.,110.json
181,110,,Nuclear energy is at the top of the clean category.,110.json
181,110,,Nuclear energy is the lightest in the clean category.,110.json
181,110,,This information is impactful.,110.json
181,110,,This information makes my community aware of where my community gets power from.,110.json
181,110,,This information makes me aware of where I get power from.,110.json
181,110,,This awareness can incentivize advocacy for more focus on clean energy production.,110.json
181,110,,The headline is: Changing Global Sources of Energy.,110.json
181,111,,India uses much less energy than China.,111.json
181,111,,India uses much less energy than the US.,111.json
181,111,,I wonder what some reasons are for the differences in energy sources between India and China.,111.json
181,111,,I wonder what some reasons are for the differences in energy sources between India and the US.,111.json
181,111,,I wonder what some reasons are for the differences in energy sources between China and the US.,111.json
181,111,,This topic relates to me.,111.json
181,111,,This topic relates to my community.,111.json
181,111,,My community uses energy every day.,111.json
181,111,,I use energy every day.,111.json
181,111,,The headline is: Energy Sources.,111.json
181,112,,I notice that the power usage in India has not increased nearly as much as the power usage in China.,112.json
181,112,,I notice that the power usage in the United States has not increased nearly as much as the power usage in China.,112.json
181,112,,"At one point, the power usage in India decreased a little bit.",112.json
181,112,,I wonder why the main power source in India is coal.,112.json
181,112,,This comment relates to my community.,112.json
181,112,,My community is close to wind power producers.,112.json
181,112,,My community is close to oil and gas producers.,112.json
181,112,,The headline is: Populations Powers.,112.json
181,113,,I notice that the US is decreasing.,113.json
181,113,,I wonder how we can make a change.,113.json
181,113,,This shows the usage of fossil fuel in the US.,113.json
181,113,,The headline is: The World is Changing Fast.,113.json
181,114,,There is a large margin between China and India.,114.json
181,114,,I wonder over what time period the data was collected.,114.json
181,114,,I wonder how the data has changed in 10 years.,114.json
181,114,,I wonder how the data has changed in 20 years.,114.json
181,114,,I wonder how the data has changed in 50 years.,114.json
181,114,,This story makes me more aware of my electricity usage.,114.json
181,114,,My electricity usage is singular.,114.json
181,114,,My electricity usage could have an impact on a smaller scale.,114.json
181,114,,"The headline is: ""United States win war against energy usage.""",114.json
181,115,,I noticed that energy was compared.,115.json
181,115,,I noticed that China and America and India were compared.,115.json
181,115,,I wondered what a gigawatt is.,115.json
181,115,,I wondered what a think tank is.,115.json
181,115,,Energy is used at an alarming rate.,115.json
181,115,,The author says: READ THIS.,115.json
181,116,,China has a population.,116.json
181,116,,India has a population.,116.json
181,116,,China and India have about the same population.,116.json
181,116,,China has more resources than India.,116.json
181,116,,China has more of all resources across the board than India.,116.json
181,116,,Some countries have access to cleaner resources.,116.json
181,116,,Some countries use fossil fuels.,116.json
181,116,,I wonder why some countries that have access to cleaner resources use more fossil fuels.,116.json
181,116,,People use power for everything in everyday life.,116.json
181,116,,People should know where power comes from.,116.json
181,116,,People should know how much power costs.,116.json
181,116,,The headline is: Energy and Power.,116.json
181,117,,India does not use much energy compared to China.,117.json
181,117,,India does not use much energy compared to the U.S.,117.json
181,117,,The population of India is larger than the population of the U.S.,117.json
181,117,,The population of India is comparable to the population of China.,117.json
181,117,,I wonder why India uses less energy.,117.json
181,117,,I wonder why the use of coal has decreased in the U.S.,117.json
181,117,,Energy usage has shifted from fossil fuels to clean energy.,117.json
181,117,,The headline is: Energy Shifts: How Energy Use around the World Is Changing.,117.json
181,118,,I notice three trends.,118.json
181,118,,One trend is rising.,118.json
181,118,,One trend is steady.,118.json
181,118,,One trend is slowly rising.,118.json
181,118,,I wonder why China's value is skyrocketing.,118.json
181,118,,China's value is higher than the value of the US.,118.json
181,118,,China's value is higher than the value of India.,118.json
181,118,,I wonder if this situation is good.,118.json
181,118,,I wonder if this situation is bad.,118.json
181,119,,I notice that the use of non-renewable energy in the US has stayed pretty consistent over the past 20 years.,119.json
181,119,,I wonder why India is so low on all energy.,119.json
181,119,,My community should use more clean energy.,119.json
181,119,,The headline is: Where is our electricity coming from?,119.json
181,12,,Electricity generation has increased over time.,12.json
181,12,,Coal is a major source of electricity generation.,12.json
181,12,,Coal can negatively affect the environment.,12.json
181,12,,Clean sources of electricity generation have increased over time.,12.json
181,12,,China produces more electricity than the United States.,12.json
181,12,,China produces about twice as much electricity as the United States.,12.json
181,12,,China produces more electricity than India.,12.json
181,12,,China produces more than five times as much electricity as India.,12.json
181,12,,I wonder what will happen over time.,12.json
181,12,,I wonder if electricity generators will be fossil-fuel generators in the future.,12.json
181,12,,I wonder if electricity generators will be clean generators in the future.,12.json
181,12,,I wonder why electricity generation differs between countries.,12.json
181,12,,This topic relates to me and my community.,12.json
181,12,,Many people in my town consider installing solar panels on their houses.,12.json
181,12,,"If many people in my town install solar panels, then my town can benefit.",12.json
181,12,,"In the United States, a major part of electricity is produced from coal or oil.",12.json
181,12,,"Over time, the United States uses more clean sources to generate electricity.",12.json
181,12,,The headline is: Electricity Across Borders: Exploring Global Differences in Power Generation.,12.json
181,120,,I noticed that China is significantly higher in both categories than the US.,120.json
181,120,,I noticed that China is significantly higher in both categories than India.,120.json
181,120,,"As the years go by, the categories increase in China.",120.json
181,120,,"As the years go by, the categories increase in the US.",120.json
181,120,,"As the years go by, the categories increase in India.",120.json
181,120,,I wonder what the graph will look like in 20 years.,120.json
181,120,,These categories have a deep impact on my life.,120.json
181,120,,It is important that I stay informed.,120.json
181,120,,Laws continue to be passed.,120.json
181,120,,The headline is: Clean Power vs. Fossil Fuels.,120.json
181,121,,I notice that coal in the US is the only energy source that decreases significantly.,121.json
181,121,,I wonder why the US stayed roughly the same in the graph.,121.json
181,121,,I live in the US.,121.json
181,121,,The graph shows the usage of fossil fuels and clean power in the US.,121.json
181,121,,The headline is:,121.json
181,121,,"The extent the US, India, and China will go for clean power, oil, gas, and coal.",121.json
181,122,,China uses coal.,122.json
181,122,,Coal is a fossil fuel.,122.json
181,122,,Coal is the most used fossil fuel in China.,122.json
181,122,,China uses clean power.,122.json
181,122,,China uses the most clean power.,122.json
181,122,,China has a high population.,122.json
181,122,,I wonder whether the high population in China relates to the energy use in China.,122.json
181,122,,This relates to my community.,122.json
181,122,,Different energy sources have impacts on my future.,122.json
181,122,,The impacts of using different energy sources relate to my community.,122.json
181,123,,The total energy use in China increases steadily.,123.json
181,123,,The total energy use in the US stays constant.,123.json
181,123,,The total energy use in India increases slowly.,123.json
181,123,,I wonder why there is such a difference in the amount of energy use.,123.json
181,123,,This difference relates to me.,123.json
181,123,,This difference relates to my community.,123.json
181,123,,This difference makes us think about how much energy we use on a daily basis.,123.json
181,123,,The headline is: Which country uses the most energy?,123.json
181,124,,China has more clean power than the United States.,124.json
181,124,,China has more fossil power than the United States.,124.json
181,124,,"In 2020, India had more coal power than the United States.",124.json
181,124,,India has little gas power.,124.json
181,124,,I wonder why India has little gas power.,124.json
181,124,,I wonder why coal power in the United States declined in 2020.,124.json
181,124,,This comment is about the change in electricity generation of clean power and fossil power around the world.,124.json
181,124,,The headline is: The World's Electricity: Clean or Dirty?,124.json
181,125,,China relies heavily on fossil fuels.,125.json
181,125,,China also uses the most clean energy.,125.json
181,125,,India uses fossil fuels at a low level.,125.json
181,125,,India uses clean energy at a low level.,125.json
181,125,,India has a large population.,125.json
181,125,,I wonder why India uses fossil fuels at a low level despite the large population.,125.json
181,125,,I wonder why India uses clean energy at a low level despite the large population.,125.json
181,125,,I ask whether access to electricity in India is limited.,125.json
181,125,,The headline is: Race to Fuel.,125.json
181,126,,I noticed that electricity generation has increased by about 5 million gigawatt hours in the past 20 years.,126.json
181,126,,China is a country.,126.json
181,126,,"In China, the total electricity generation has increased by about 8 million gigawatt hours in the past 20 years.",126.json
181,126,,I wonder why the usage of coal increased dramatically in China.,126.json
181,126,,I wonder why the usage of coal decreased in the United States.,126.json
181,126,,This graph has a large impact on my future.,126.json
181,126,,"In 5 years, the trend of this graph could have a huge place in the world around me.",126.json
181,126,,"In 10 years, the trend of this graph could have a huge place in the world around me.",126.json
181,126,,The headline is: Electricity Around the World: How Is It Changing?,126.json
181,127,,Coal is a fossil fuel.,127.json
181,127,,Gasoline is a fossil fuel.,127.json
181,127,,The usage of coal has increased.,127.json
181,127,,The usage of gasoline has increased.,127.json
181,127,,Many companies work against harmful fuel usage.,127.json
181,127,,Some activists support a transition to clean energy.,127.json
181,127,,I wonder how the use of fossil fuels has increased.,127.json
181,127,,The graph shows the popularity of different types of electricity in the world.,127.json
181,127,,The graph shows trends in electricity types in the world.,127.json
181,127,,The abuse of fossil fuels may continue.,127.json
181,127,,"If the abuse of fossil fuels continues, we will be without resources.",127.json
181,127,,"If the abuse of fossil fuels continues, we will be unprepared.",127.json
181,127,,The headline is: Fossil Fuel Use Trumps Clean Fuels.,127.json
181,128,,The graphs show an increase in electrical generation.,128.json
181,128,,Electrical generation positively correlates with years.,128.json
181,128,,The increase in electrical generation is not equal among all countries.,128.json
181,128,,India is a country.,128.json
181,128,,China is a country.,128.json
181,128,,The United States is a country.,128.json
181,128,,China's electrical generation increased every year from 2000 to 2020.,128.json
181,128,,China's electrical generation increased at a high linear rate from 2000 to 2020.,128.json
181,128,,The electrical generation in the United States increased slightly from 2000 to 2020.,128.json
181,128,,Coal is the main source of electrical generation in each country.,128.json
181,128,,The United States decreased coal use over time.,128.json
181,128,,India increased coal use over time.,128.json
181,128,,China increased coal use over time.,128.json
181,128,,The electrical generation in the United States stayed steady.,128.json
181,128,,The population of the United States increased.,128.json
181,128,,The economy of the United States grew.,128.json
181,128,,China's electrical generation increased by almost four times.,128.json
181,128,,China's population is greater than the population of the United States.,128.json
181,128,,The discrepancy in electrical generation is puzzling.,128.json
181,128,,I wonder if countries outside the United States have environmental laws.,128.json
181,128,,I wonder if countries outside the United States have environmental acts.,128.json
181,128,,I live in California.,128.json
181,128,,This relates to my community in California.,128.json
181,128,,My community passes new laws.,128.json
181,128,,These laws preserve the environment.,128.json
181,128,,These laws eliminate the use of fossil fuels.,128.json
181,128,,I have much family in India.,128.json
181,128,,The community in India is affected by fossil fuels.,128.json
181,128,,Fossil fuels are burned in India.,128.json
181,128,,The burning of fossil fuels changes the climate.,128.json
181,128,,Farmers live in India.,128.json
181,128,,Climate change forced some farmers in India to move from their hometowns.,128.json
181,128,,Resources have been scarce in India.,128.json
181,128,,"The headline is: Electrical Generation: Why Nuclear is Good, For Once.",128.json
181,129,,"During the past two decades, the global electricity generation has risen steadily.",129.json
181,129,,Advancements in technology have driven this rise.,129.json
181,129,,I examine country-specific data.,129.json
181,129,,The data shows patterns in developed countries such as the United States.,129.json
181,129,,The data also shows patterns in third world countries such as India.,129.json
181,129,,The electricity generation of the United States has been largely stagnant.,129.json
181,129,,The electricity generation of China has increased.,129.json
181,129,,I wonder why the electricity generation of the United States has been largely stagnant compared to the electricity generation of China.,129.json
181,129,,The United States has had drastic economic development during the 21st century.,129.json
181,129,,This situation especially intrigues me.,129.json
181,129,,This relates to my community.,129.json
181,129,,A transition to renewable energy carries significant benefits.,129.json
181,129,,A transition to renewable energy reduces air pollution.,129.json
181,129,,A transition to renewable energy enhances overall health for many individuals.,129.json
181,129,,The headline is: Powering Progress: The Rise of Renewable Energy.,129.json
181,13,,The use of electric energy has almost doubled since 2000.,13.json
181,13,,This increase is alarming.,13.json
181,13,,Utilities use fossil fuels to generate electricity.,13.json
181,13,,Utilities use fossil fuels much more than clean energy to generate electricity.,13.json
181,13,,Utilities use fossil fuels about 3 times more than clean energy to generate electricity.,13.json
181,13,,Humanity has an addiction to a lifestyle.,13.json
181,13,,This lifestyle is not sustainable.,13.json
181,13,,Electric utilities focus on amassing wealth and power.,13.json
181,13,,The fossil fuel industry focuses on amassing wealth and power.,13.json
181,13,,The government is afraid to make needed moves.,13.json
181,13,,The government is afraid to regulate a solution.,13.json
181,13,,The quality of life in my community will fall slowly.,13.json
181,13,,"After that, the quality of life in my community will fall quickly.",13.json
181,13,,My neighbors live in my community.,13.json
181,13,,I live in my community.,13.json
181,13,,The quality of life of my neighbors will fall.,13.json
181,13,,The quality of life of me will fall.,13.json
181,13,,Existential despair will be rampant in my community.,13.json
181,13,,"The headline is: Humanity's Energy Use: Way Too Much, Way Too Dirty - What is the fix?",13.json
181,130,,I look at these 4 graphs.,130.json
181,130,,"As the years increase, the electricity that is generated from clean energy sources increases faster than the electricity that is generated from fossil fuels.",130.json
181,130,,New technology exists.,130.json
181,130,,Solar panels are new technology.,130.json
181,130,,Solar panels have been introduced in recent years.,130.json
181,130,,Solar panels produce cleaner energy.,130.json
181,130,,A movement to protect the environment is growing.,130.json
181,130,,More and more people realize that fossil fuels harm the planet.,130.json
181,130,,I wonder whether the growing movement to protect the environment has an effect on the increase of clean energy.,130.json
181,130,,A switch from fossil fuels to clean energy sources may continue.,130.json
181,130,,If the switch from fossil fuels to clean energy sources continues then the impact on the planet will be very positive.,130.json
181,130,,Fossil fuels contribute to global issues.,130.json
181,130,,Global warming is a global issue.,130.json
181,130,,The headline could be: Where does our electricity really come from?,130.json
181,131,,The text states that the graphs do not include imports and exports.,131.json
181,131,,The graphs most likely do not reflect the complete amount of energy generated by each nation.,131.json
181,131,,A nation can be a net importer of energy.,131.json
181,131,,A nation can be a net exporter of energy.,131.json
181,131,,If a nation is a net importer of energy then the overall energy consumption of the nation is higher than the energy generation in the graphs.,131.json
181,131,,If a nation is a net exporter of energy then the overall energy consumption of the nation is lower than the energy generation in the graphs.,131.json
181,131,,India has low energy usage compared to China.,131.json
181,131,,India has low energy usage compared to the United States.,131.json
181,131,,I wonder what factors explain the low energy usage of India.,131.json
181,131,,I expect that the energy usage of India is lower than the energy usage of China.,131.json
181,131,,I expect that the energy usage of India is lower than the energy usage of the United States.,131.json
181,131,,I did not expect that the energy usage of India is so low.,131.json
181,131,,This topic is important to my community.,131.json
181,131,,I will become older.,131.json
181,131,,Technology becomes more integrated into every part of life.,131.json
181,131,,If technology becomes more integrated into every part of life then the usage of electricity increases.,131.json
181,131,,Environmental preservation may be achieved by the widespread use of clean power generation.,131.json
181,131,,I want more power.,131.json
181,132,,The electricity generation in the United States has barely increased since 2000.,132.json
181,132,,"Since 2000, gas power and wind power and solar power have taken much of the share from coal power in the United States.",132.json
181,132,,The total electricity generation in the world has increased by more than 10 million GWh since 2000.,132.json
181,132,,The electricity generation in China accounts for about 8 million GWh of this increase.,132.json
181,132,,The electricity generation in India accounts for about 1 million GWh of this increase.,132.json
181,132,,The worldwide nuclear electricity generation has barely changed since 2000.,132.json
181,132,,The worldwide hydroelectric generation has about doubled since 2000.,132.json
181,132,,The worldwide wind generation and solar generation increased from about 0 GWh to about 3 million GWh since 2000.,132.json
181,132,,The worldwide gas generation increased from about 3 million GWh to about 6 million GWh since 2000.,132.json
181,132,,The worldwide coal generation increased from about 5 million GWh to about 8 million GWh since 2000.,132.json
181,132,,I wonder why the electricity generation in China has increased so much since 2000.,132.json
181,132,,I wonder why the electricity generation in the United States has changed so little since 2000.,132.json
181,132,,China has been developing since 2000.,132.json
181,132,,The electricity generation in China increased by more than a factor of 5 since 2000.,132.json
181,132,,I think that this increase seems absurd.,132.json
181,132,,I wonder what China did before China generated this electricity.,132.json
181,132,,I wonder whether China imported electricity before China generated this electricity.,132.json
181,132,,I wonder why no new nuclear energy is produced worldwide.,132.json
181,132,,We know that nuclear energy is safe.,132.json
181,132,,We know that nuclear energy is reliable.,132.json
181,132,,The world wants to move towards renewable energy.,132.json
181,132,,The worldwide consumption of fossil fuels is still increasing.,132.json
